Program_Type,Mode,Duration,Hours,Subjects,Projects,Tools,Cost,Faculty_Experience,Faculty_Degree,Industry_Background,Company_Background,College_Tier,CGPA,Skill_Before,Skill_After,Placement,Salary,Skill_Improvement,ROI
Advanced,Offline,19,478,6,9,13,329241,7,BTech,1,Mid,1,7.47,0,3,0,16,3,4.859662071248721
Advanced,Offline,12,69,3,1,11,201020,2,MTech,0,Top,1,9.54,2,3,0,10,1,4.974629390110437
DataScience,Offline,6,258,5,7,11,311663,3,BTech,1,Top,1,6.14,0,1,1,5,1,1.6042969489480625
Basic,Online,11,456,4,1,8,198932,14,PhD,0,Top,4,7.27,0,2,1,22,2,11.059055355598899
GenAI,Online,23,99,5,2,5,217114,6,BTech,0,Mid,2,8.89,2,2,1,6,0,2.763525152684765
Basic,Offline,23,290,11,9,11,77997,9,PhD,1,Startup,4,9.55,2,2,1,6,0,7.6926035616754485
FullStack,Offline,18,376,8,9,11,381087,16,MTech,1,Startup,4,8.32,2,1,1,18,-1,4.723330892945706
Basic,Hybrid,35,278,14,3,12,330052,3,BTech,1,Mid,1,8.52,0,2,1,22,2,6.66561632712421
Advanced,Hybrid,18,116,5,6,12,210050,2,MTech,1,Top,3,9.02,2,2,1,4,0,1.9043084979766725
FullStack,Hybrid,24,419,14,3,5,145528,9,MTech,1,Top,4,8.6,0,3,0,17,3,11.681600791600243
Basic,Offline,1,488,6,4,10,276336,15,PhD,1,Top,2,5.16,2,1,1,23,-1,8.323200741126744
FullStack,Online,17,290,12,1,3,147035,19,MTech,1,Mid,2,7.33,1,1,1,6,0,4.080661067092869
GenAI,Hybrid,22,391,6,5,10,167914,10,MTech,0,Top,2,9.96,2,1,1,18,-1,10.719773217242158
Basic,Hybrid,7,260,14,1,8,28675,16,MTech,1,Mid,2,6.84,2,2,1,14,0,48.82301656495205
Advanced,Online,24,438,10,3,12,42861,2,MTech,1,Top,1,9.95,2,3,0,11,1,25.66435687454796
FullStack,Online,11,409,6,7,7,391038,11,MTech,1,Top,4,8.39,1,2,0,17,1,4.347403577145955
DataScience,Online,27,134,10,1,2,273449,11,MTech,1,Mid,4,6.21,1,1,1,13,0,4.754085771021288
FullStack,Hybrid,19,480,5,3,11,161759,14,MTech,1,Startup,3,6.89,2,2,1,19,0,11.745868854283223
DataScience,Online,18,253,11,6,11,262019,19,PhD,1,Startup,2,8.49,2,2,0,10,0,3.8165171228040715
Advanced,Offline,3,359,10,9,14,306505,16,BTech,0,Top,2,8.79,0,3,1,3,3,0.9787768551899644
GenAI,Online,6,256,12,5,3,70571,17,MTech,0,Mid,3,5.88,2,2,1,8,0,11.336101231383998
DataScience,Hybrid,3,175,10,7,9,208605,4,MTech,1,Startup,2,5.96,0,1,1,21,1,10.066872797871575
GenAI,Offline,11,118,11,9,7,376201,7,MTech,0,Top,2,5.34,1,1,1,3,0,0.7974460461295956
FullStack,Hybrid,34,234,13,8,5,57280,5,MTech,1,Top,3,7.31,0,2,0,8,2,13.966480446927374
Advanced,Online,17,171,10,6,12,311239,10,PhD,1,Mid,1,6.42,0,2,1,7,2,2.249075469333856
DataScience,Online,7,297,8,2,7,264489,15,MTech,0,Startup,2,6.1,2,2,1,15,0,5.671313362748545
FullStack,Online,35,247,11,2,12,36759,5,MTech,0,Mid,3,6.6,1,3,1,5,2,13.602111047634594
Basic,Online,29,317,8,2,6,261879,2,BTech,1,Startup,4,9.48,0,3,1,16,3,6.109691880601346
FullStack,Hybrid,34,369,8,2,13,194096,13,PhD,1,Top,1,9.05,2,2,1,10,0,5.1520896875772815
GenAI,Online,24,77,3,1,13,335600,6,BTech,0,Startup,2,9.16,2,3,0,19,1,5.66150178784267
Advanced,Hybrid,25,458,12,9,1,258642,15,MTech,1,Mid,3,8.07,1,2,0,19,1,7.346061351211327
Advanced,Offline,9,323,9,4,13,20650,8,MTech,1,Mid,2,7.76,0,2,1,18,2,87.16707021791768
FullStack,Online,10,481,3,3,11,326902,14,PhD,0,Mid,2,9.94,2,2,1,22,0,6.729845641813143
Basic,Hybrid,2,219,3,3,8,247991,3,MTech,0,Top,1,8.23,0,2,1,15,2,6.0486066026589675
GenAI,Hybrid,31,416,12,7,11,299014,1,PhD,1,Startup,3,5.2,1,2,1,9,1,3.0098925133940218
FullStack,Online,2,418,5,7,9,232633,4,PhD,1,Top,1,9.28,1,3,1,11,2,4.728477902963037
FullStack,Hybrid,14,223,14,4,11,168812,13,PhD,0,Top,1,5.05,1,2,1,11,1,6.516124446129422
Advanced,Offline,29,110,14,7,11,197540,5,MTech,1,Mid,4,9.88,2,2,1,20,0,10.124531740407006
GenAI,Online,4,499,5,8,2,209844,6,BTech,1,Startup,4,7.04,1,2,1,10,1,4.76544480661825
Basic,Hybrid,31,465,8,9,12,195086,14,PhD,0,Startup,3,7.86,2,2,0,14,0,7.1763222373722355
Advanced,Offline,29,221,12,5,5,372113,7,PhD,0,Mid,3,7.02,0,2,1,11,2,2.956091294848608
FullStack,Hybrid,27,144,10,5,2,179971,19,MTech,0,Top,3,5.24,1,1,0,3,0,1.666935228453473
Advanced,Hybrid,34,211,14,4,10,101584,14,BTech,0,Mid,2,7.23,0,3,0,3,3,2.9532209796818396
Advanced,Online,20,285,12,9,14,200912,19,PhD,0,Mid,2,5.59,1,1,0,23,0,11.447798040933344
DataScience,Hybrid,23,424,10,8,7,145557,11,PhD,0,Top,1,7.16,0,1,1,6,1,4.122096498279024
Advanced,Offline,10,100,8,7,8,285961,15,PhD,0,Top,3,8.23,1,2,1,18,1,6.294564643430398
Advanced,Offline,20,135,11,9,7,263585,14,BTech,0,Top,4,6.48,1,1,1,23,0,8.725837964982833
GenAI,Offline,20,163,11,1,3,134685,2,PhD,0,Mid,4,5.64,1,3,1,22,2,16.334409919441658
Advanced,Online,12,375,10,7,8,247728,8,BTech,0,Startup,3,7.83,2,3,0,5,1,2.0183426984434543
Basic,Online,32,94,10,1,14,267418,4,MTech,1,Top,1,5.65,2,3,1,12,1,4.487356872013104
FullStack,Hybrid,14,51,9,3,6,146560,18,MTech,1,Top,1,8.82,2,2,0,18,0,12.281659388646288
GenAI,Online,35,347,14,2,13,287532,17,MTech,1,Startup,2,8.29,1,1,0,12,0,4.173448520512499
Advanced,Offline,11,171,8,1,2,344164,9,PhD,0,Mid,1,7.44,2,1,0,3,-1,0.8716774560965121
Basic,Offline,20,65,3,8,7,145137,8,BTech,0,Top,3,6.78,1,2,1,22,1,15.158092009618498
FullStack,Hybrid,32,370,9,2,3,355549,11,BTech,0,Startup,4,8.8,1,3,0,20,2,5.625103712849706
GenAI,Online,12,117,12,1,4,93810,13,PhD,0,Top,4,5.78,0,3,0,19,3,20.253704295917277
Basic,Online,22,357,14,1,3,186934,1,BTech,1,Mid,2,8.57,2,2,1,15,0,8.02422245284432
Advanced,Online,11,190,14,3,9,284593,7,PhD,1,Top,2,5.76,2,3,1,11,1,3.865168855172123
DataScience,Offline,19,220,12,5,3,358601,8,BTech,0,Top,1,8.88,2,3,0,22,1,6.134952217088073
DataScience,Hybrid,11,209,6,1,9,312193,8,MTech,1,Startup,3,5.28,0,2,1,19,2,6.085978865637602
GenAI,Offline,26,430,8,2,14,188177,11,PhD,0,Mid,4,8.66,0,2,1,14,2,7.439804014305681
Basic,Online,16,51,6,7,8,214294,7,PhD,0,Startup,1,7.62,2,1,0,9,-1,4.199837606279224
FullStack,Offline,4,472,10,5,14,122992,12,PhD,0,Startup,4,6.35,2,3,0,15,1,12.195915181475218
Basic,Hybrid,5,104,10,7,4,173325,13,BTech,1,Mid,4,9.78,0,2,0,15,2,8.654262224145391
DataScience,Hybrid,17,374,14,1,4,379296,10,PhD,0,Top,1,8.3,2,3,1,12,1,3.1637560111364214
GenAI,Hybrid,18,183,5,3,4,244578,18,PhD,1,Top,2,6.59,1,3,0,12,2,4.9064102249589086
Advanced,Online,6,194,6,3,10,238879,18,PhD,1,Mid,1,6.75,2,2,0,24,0,10.046927523976573
Basic,Hybrid,17,465,6,2,8,39075,19,BTech,0,Mid,1,9.13,1,1,0,7,0,17.914267434420985
DataScience,Hybrid,4,455,13,2,9,61613,18,PhD,0,Mid,4,9.58,2,1,1,14,-1,22.72247739925016
FullStack,Offline,29,233,11,7,14,156595,16,MTech,0,Mid,3,8.73,0,3,1,16,3,10.21743989271688
GenAI,Hybrid,12,317,3,7,14,23356,9,MTech,0,Startup,3,6.54,1,3,0,21,2,89.91265627675972
Advanced,Offline,30,497,7,4,12,280121,16,BTech,0,Startup,1,8.63,1,2,1,6,1,2.141931522449227
Basic,Hybrid,12,73,3,8,12,286763,19,PhD,0,Startup,3,8.44,0,2,0,17,2,5.9282403936351615
FullStack,Offline,14,449,12,6,14,87697,7,MTech,1,Top,1,6.35,1,2,1,9,1,10.262608755145557
Advanced,Offline,12,330,4,3,11,383930,5,MTech,0,Mid,2,5.92,2,2,1,11,0,2.865105618211653
DataScience,Online,33,224,10,3,2,229878,13,BTech,0,Top,3,9.41,2,3,1,5,1,2.175066774549979
DataScience,Online,25,164,4,6,1,228962,6,MTech,0,Startup,2,5.69,1,3,0,6,2,2.6205221827202765
FullStack,Online,34,417,11,4,5,105251,8,BTech,0,Startup,2,8.44,0,3,1,6,3,5.700658426048208
DataScience,Offline,15,135,12,9,4,61388,15,BTech,1,Mid,2,7.44,1,2,1,8,1,13.031862904802242
GenAI,Offline,11,247,8,4,7,219842,6,PhD,0,Top,4,8.61,0,3,1,10,3,4.54872135442727
FullStack,Offline,34,379,14,2,9,65257,10,MTech,0,Top,3,8.3,2,1,1,16,-1,24.51844246594235
DataScience,Offline,28,387,9,6,2,172983,18,BTech,0,Mid,4,7.48,0,1,0,7,1,4.046640421313077
Basic,Offline,19,433,9,5,6,30840,5,MTech,0,Startup,3,8.15,2,2,1,18,0,58.36575875486381
DataScience,Online,8,289,7,4,3,316200,18,BTech,0,Top,4,5.84,2,3,1,4,1,1.2650221378874131
GenAI,Hybrid,27,125,10,3,4,134209,14,MTech,1,Startup,4,6.02,0,3,1,21,3,15.647236772496628
Advanced,Online,32,447,11,2,1,396857,3,PhD,1,Top,2,9.28,0,1,1,7,1,1.763859526227331
Advanced,Offline,23,98,10,3,12,342503,6,MTech,0,Top,4,9.06,2,3,0,5,1,1.4598412276680788
DataScience,Hybrid,23,384,11,4,4,158334,10,MTech,1,Startup,3,6.33,1,1,1,17,0,10.736796897697273
Advanced,Online,12,259,6,7,13,57758,17,BTech,1,Startup,4,6.58,2,1,1,16,-1,27.7017902281935
DataScience,Online,15,243,11,7,1,39294,11,PhD,1,Top,2,7.27,2,2,1,9,0,22.904260192395785
GenAI,Offline,15,185,5,9,9,225915,19,BTech,0,Mid,2,8.37,2,2,1,24,0,10.6234645773853
Advanced,Offline,23,125,4,1,7,51069,3,PhD,1,Mid,4,9.45,0,1,1,6,1,11.748810432943666
Basic,Online,5,233,6,3,10,345851,8,BTech,0,Startup,1,5.36,2,3,1,4,1,1.1565674235436647
DataScience,Hybrid,25,360,7,2,11,192275,11,PhD,0,Top,2,9.73,2,2,0,9,0,4.680795735274997
Advanced,Online,2,363,3,3,12,321235,16,PhD,0,Startup,4,6.91,2,3,0,16,1,4.980777312559342
GenAI,Hybrid,7,471,7,9,2,143376,9,MTech,0,Mid,3,7.08,1,3,1,17,2,11.856935609864971
GenAI,Offline,27,445,10,4,5,128795,9,PhD,0,Mid,1,5.09,1,1,1,3,0,2.329282969059358
Basic,Online,17,261,7,4,3,41786,11,PhD,1,Startup,2,9.77,2,1,1,8,-1,19.145168238165894
GenAI,Hybrid,8,201,10,6,4,153061,14,PhD,0,Top,4,9.58,1,3,1,10,2,6.53334291556961
GenAI,Online,30,482,13,3,1,318285,6,PhD,0,Startup,1,9.77,2,1,1,13,-1,4.084389776458205
Advanced,Offline,9,440,3,8,3,93269,12,MTech,1,Top,2,9.98,1,1,1,9,0,9.649508411154832
DataScience,Offline,1,475,9,3,13,212949,4,PhD,0,Startup,2,5.56,1,3,1,14,2,6.574344091777843
FullStack,Hybrid,14,328,11,8,8,370877,4,MTech,0,Startup,2,6.41,0,2,1,24,2,6.4711481164914515
GenAI,Hybrid,11,382,6,8,9,20044,16,PhD,1,Top,4,5.71,1,2,0,3,1,14.967072440630613
GenAI,Online,32,85,5,8,13,75324,17,MTech,0,Mid,1,9.12,1,1,1,7,0,9.293186766502044
FullStack,Online,28,300,11,1,7,46841,9,PhD,1,Startup,2,8.55,0,2,0,17,2,36.292991182938025
GenAI,Offline,26,104,8,3,6,228781,10,BTech,1,Startup,3,5.81,2,1,0,3,-1,1.3112977039177205
Advanced,Online,6,152,4,8,2,247054,14,MTech,1,Startup,4,7.63,1,3,0,6,2,2.428618844463154
Advanced,Hybrid,2,309,14,6,13,253002,3,PhD,1,Startup,3,7.86,1,1,1,14,0,5.533553094441941
FullStack,Online,1,240,12,1,12,330232,5,BTech,0,Mid,4,9.4,0,1,1,24,1,7.267617917100705
GenAI,Online,7,277,9,4,8,270087,4,BTech,1,Mid,1,8.04,0,3,1,22,3,8.145523479471429
GenAI,Hybrid,33,230,10,6,1,55827,14,BTech,0,Mid,3,6.81,1,2,1,8,1,14.32998369964354
DataScience,Offline,29,191,8,4,9,331750,17,BTech,1,Mid,2,9.27,1,2,1,7,1,2.1100226073850794
GenAI,Online,24,283,12,5,8,296733,17,BTech,1,Top,2,5.14,0,1,0,4,1,1.348013197049199
Advanced,Offline,6,394,12,2,10,33274,19,BTech,1,Startup,3,8.97,0,1,0,22,1,66.11768948728738
Basic,Offline,7,354,3,5,9,87695,1,BTech,1,Top,4,9.3,2,1,1,8,-1,9.12252693996237
Basic,Offline,4,491,7,9,3,94123,6,BTech,0,Top,3,8.86,2,2,1,21,0,22.311231048734104
Basic,Online,17,146,9,8,6,393883,15,BTech,0,Mid,2,9.61,1,2,1,11,1,2.7927074791245117
Basic,Hybrid,26,372,12,6,12,148722,3,MTech,1,Startup,4,9.96,0,1,1,14,1,9.413536665725314
GenAI,Online,17,270,13,6,13,128820,1,MTech,1,Startup,4,9.93,1,3,1,24,2,18.63064741499767
GenAI,Hybrid,26,394,5,5,5,227908,1,PhD,1,Startup,3,9.78,1,1,1,15,0,6.5816031030064766
DataScience,Offline,30,62,4,8,1,360086,6,PhD,1,Mid,4,7.19,0,3,1,6,3,1.6662686136089713
GenAI,Offline,14,133,5,7,6,171342,15,MTech,0,Mid,2,9.85,2,2,1,9,0,5.2526525895577265
Basic,Offline,29,96,11,2,6,69967,12,PhD,0,Top,4,9.47,1,1,0,20,0,28.584904312032815
FullStack,Offline,33,359,10,3,12,245752,12,MTech,0,Mid,3,7.38,1,2,1,12,1,4.882971450893583
FullStack,Hybrid,29,90,9,8,4,337010,13,BTech,1,Mid,1,9.62,1,1,1,24,0,7.1214504020652205
Advanced,Offline,7,276,14,8,10,99317,5,MTech,0,Top,3,6.28,2,3,1,10,1,10.068769697030719
Advanced,Online,16,206,7,2,14,390846,10,PhD,1,Mid,2,9.21,2,1,0,16,-1,4.093683957364282
GenAI,Online,12,125,5,2,12,60451,16,MTech,1,Top,2,8.64,1,3,1,6,2,9.925394120858217
FullStack,Hybrid,31,396,8,8,6,304289,8,BTech,1,Startup,3,6.8,1,1,1,10,0,3.286349490122877
Basic,Online,3,223,10,3,2,394647,18,MTech,0,Top,3,9.0,0,2,1,21,2,5.3212111076481
Basic,Hybrid,8,226,5,3,14,148731,1,BTech,0,Startup,1,8.64,2,2,1,19,0,12.774740975317856
Basic,Hybrid,21,466,9,4,8,170077,17,MTech,0,Mid,2,8.54,0,2,1,5,2,2.939844893783404
GenAI,Hybrid,24,368,4,1,9,172879,16,PhD,0,Mid,3,7.48,2,3,1,3,1,1.7353177656048449
GenAI,Offline,23,489,5,9,4,199217,5,BTech,0,Startup,1,5.13,1,2,0,12,1,6.023582324801598
DataScience,Online,12,313,12,9,12,136115,9,MTech,0,Mid,4,5.49,1,1,0,11,0,8.0814017558682
Basic,Hybrid,27,274,5,4,4,345354,5,PhD,0,Top,3,6.72,0,1,0,9,1,2.606021647353151
Basic,Online,16,230,10,3,12,32583,3,MTech,1,Startup,1,8.7,0,2,1,15,2,46.03627658594973
GenAI,Online,27,276,3,2,12,354051,14,MTech,1,Mid,2,9.39,1,2,0,14,1,3.954232582311588
GenAI,Online,31,320,5,8,8,47926,17,BTech,0,Startup,4,7.38,1,3,1,11,2,22.9520510787464
DataScience,Offline,18,244,11,2,1,268480,11,BTech,1,Mid,1,7.83,1,1,1,7,0,2.6072705601907034
DataScience,Hybrid,7,384,12,6,10,317762,13,MTech,1,Startup,3,6.22,1,1,1,21,0,6.608719733637124
Advanced,Hybrid,12,481,11,3,6,166084,2,BTech,0,Top,1,7.03,0,2,0,12,2,7.225259507237301
FullStack,Offline,16,128,11,7,3,104130,2,MTech,0,Top,1,6.49,2,2,0,16,0,15.365408623835592
Basic,Offline,35,472,14,7,1,92467,17,PhD,0,Top,1,7.76,2,2,1,19,0,20.547871132403994
Basic,Online,28,354,5,7,8,373904,18,MTech,0,Top,4,5.2,0,3,1,20,3,5.34896657965681
DataScience,Offline,3,73,8,8,2,297292,13,BTech,0,Top,2,5.16,0,1,0,14,1,4.709174818024031
DataScience,Offline,31,424,10,2,8,346567,18,BTech,1,Mid,3,9.73,2,1,0,12,-1,3.462533940046225
Advanced,Hybrid,2,437,4,6,3,371156,8,BTech,1,Top,4,7.15,0,1,0,7,1,1.8859994180344652
FullStack,Hybrid,2,480,8,4,11,340089,10,MTech,1,Startup,4,7.32,1,3,1,3,2,0.8821220327620123
Advanced,Online,7,134,4,3,7,57098,9,PhD,1,Top,2,6.49,2,2,0,8,0,14.010998633927633
FullStack,Offline,11,429,7,4,14,91541,13,BTech,1,Top,3,7.46,2,3,1,10,1,10.92406681159262
Basic,Offline,9,325,14,3,3,79776,1,MTech,0,Mid,4,6.29,1,3,0,7,2,8.774568792619334
Advanced,Online,2,338,7,6,4,291198,15,BTech,1,Top,4,9.47,0,2,1,11,2,3.777498471830164
DataScience,Online,7,299,5,9,13,379361,2,BTech,0,Startup,2,5.15,1,1,1,4,0,1.0544046435980503
Advanced,Online,23,236,5,9,2,335782,6,BTech,0,Mid,3,6.81,1,3,0,14,2,4.169371794795433
Advanced,Offline,29,493,5,4,6,182105,18,BTech,0,Startup,3,5.77,1,2,1,19,1,10.433541088932209
Basic,Hybrid,2,227,11,7,3,137662,5,PhD,1,Top,2,5.58,1,3,0,9,2,6.537751885051794
DataScience,Online,5,263,10,2,5,314007,7,MTech,1,Mid,2,7.27,2,3,1,17,1,5.413892046992583
DataScience,Online,4,337,6,2,1,246201,19,BTech,1,Top,1,6.42,2,1,0,23,-1,9.341960430704994
GenAI,Online,9,201,4,2,5,333763,16,MTech,1,Top,2,6.31,1,1,1,8,0,2.3969103825169356
GenAI,Online,10,219,7,1,10,192906,10,MTech,1,Startup,4,6.03,1,1,1,13,0,6.7390335189159485
GenAI,Hybrid,8,358,4,2,6,36968,7,BTech,1,Mid,4,8.06,0,2,1,9,2,24.345379787924692
Basic,Offline,4,193,11,7,1,304753,7,BTech,0,Top,3,8.58,1,2,0,19,1,6.234557165967193
Advanced,Online,13,380,11,2,5,72873,18,PhD,1,Mid,4,7.97,1,1,0,11,0,15.094753886899126
DataScience,Hybrid,12,298,8,7,12,129773,12,MTech,0,Top,3,7.53,0,3,0,24,3,18.493831536606226
DataScience,Online,19,130,4,4,5,254040,2,MTech,0,Top,1,9.84,2,2,1,24,0,9.447331128956069
Advanced,Online,11,240,3,3,5,88057,15,MTech,1,Startup,1,8.29,0,3,0,24,3,27.255073418354023
DataScience,Offline,15,117,4,1,11,119253,18,MTech,0,Top,4,5.7,1,1,1,5,0,4.1927666389944065
Advanced,Hybrid,30,145,12,2,12,167480,5,BTech,1,Top,2,6.78,2,1,1,4,-1,2.3883448770002387
Basic,Offline,3,339,7,2,5,248899,18,PhD,0,Mid,1,8.33,1,3,0,21,2,8.437157240487107
Basic,Offline,11,120,4,9,1,197171,7,MTech,1,Mid,3,7.25,0,2,0,11,2,5.578913734778441
Basic,Hybrid,2,56,13,1,5,107175,15,PhD,1,Mid,2,7.43,0,1,0,21,1,19.59412176347096
Advanced,Offline,25,246,12,9,6,126901,15,PhD,1,Top,1,9.64,2,1,1,16,-1,12.608253678064003
Advanced,Online,31,294,6,3,7,350062,6,PhD,1,Top,1,7.98,1,1,0,9,0,2.5709731419005775
FullStack,Hybrid,12,415,13,6,11,395605,5,BTech,1,Startup,1,7.78,1,3,0,5,2,1.263886957950481
DataScience,Hybrid,27,469,8,7,6,280824,11,BTech,0,Top,1,9.68,0,3,1,11,3,3.9170441272825682
DataScience,Offline,13,220,10,6,9,287103,1,PhD,1,Mid,2,6.96,0,1,1,12,1,4.179684642793701
FullStack,Offline,28,141,9,5,1,134675,15,BTech,1,Mid,2,5.28,2,2,0,15,0,11.137924633376649
FullStack,Offline,27,367,5,1,7,83733,4,MTech,0,Mid,2,5.25,1,3,1,15,2,17.914084052882377
Basic,Online,20,375,6,3,2,390442,12,MTech,0,Startup,3,6.89,0,1,0,9,1,2.3050798838239737
FullStack,Offline,29,365,11,6,6,376633,1,BTech,1,Startup,4,7.75,1,3,1,18,2,4.779188228328373
Advanced,Hybrid,22,398,6,8,6,319299,19,BTech,0,Top,1,6.46,0,2,0,4,2,1.2527442929667802
GenAI,Online,24,210,12,9,1,133507,16,MTech,1,Top,1,5.93,0,3,0,7,3,5.243170770071981
Advanced,Online,1,235,7,3,12,296084,19,PhD,0,Mid,2,7.61,0,1,1,3,1,1.0132259764120992
FullStack,Offline,1,261,11,5,4,259886,9,BTech,1,Startup,1,5.44,0,3,1,8,3,3.0782727811425006
DataScience,Offline,21,451,3,9,3,59780,11,PhD,1,Startup,3,5.53,2,1,1,7,-1,11.7096018735363
Advanced,Hybrid,6,360,4,9,2,370001,2,MTech,1,Startup,1,9.62,0,2,1,3,2,0.8108086194361638
DataScience,Hybrid,11,494,10,2,13,23851,2,MTech,0,Mid,4,8.03,0,1,0,3,1,12.578088969015974
Advanced,Hybrid,21,392,5,4,4,383214,9,MTech,1,Startup,4,5.36,1,3,1,3,2,0.7828524010083139
DataScience,Hybrid,13,67,11,3,3,352615,18,BTech,0,Mid,2,7.04,2,1,1,22,-1,6.2390993009372835
Advanced,Hybrid,18,157,3,2,4,27011,19,BTech,1,Top,1,8.12,1,2,1,13,1,48.12854022435304
DataScience,Hybrid,30,445,6,4,13,284998,17,MTech,0,Mid,4,8.59,2,3,1,21,1,7.3684727612123595
GenAI,Offline,21,254,10,6,2,93169,9,PhD,1,Top,3,5.11,1,2,0,20,1,21.466367568611876
Basic,Hybrid,12,286,11,1,12,337191,12,MTech,1,Mid,3,7.4,0,1,0,23,1,6.821059874077303
Advanced,Online,19,377,12,6,9,46702,11,BTech,1,Mid,2,8.76,2,2,1,5,0,10.706179606869085
GenAI,Online,23,211,12,9,6,58794,18,MTech,0,Top,2,9.29,1,1,0,8,0,13.606830628975745
Basic,Online,15,199,6,2,4,32908,8,MTech,1,Mid,2,5.44,0,2,0,21,2,63.81427008630121
Advanced,Offline,29,226,4,5,12,144308,1,BTech,0,Mid,1,9.35,2,1,1,4,-1,2.771849100534967
GenAI,Online,28,497,7,1,4,380014,8,BTech,1,Mid,4,5.1,1,1,0,13,0,3.420926597441147
GenAI,Online,21,227,5,6,10,373574,16,MTech,1,Mid,1,6.41,1,1,0,9,0,2.409161237131064
GenAI,Hybrid,17,64,8,7,13,131732,3,BTech,0,Startup,3,9.86,1,2,1,20,1,15.182339902225731
FullStack,Offline,2,88,9,8,2,161572,10,MTech,0,Top,4,5.29,1,1,0,18,0,11.140544153689996
DataScience,Hybrid,2,482,14,2,10,365052,6,MTech,0,Top,4,7.28,2,3,1,22,1,6.026538684899685
Basic,Online,25,180,3,3,8,315610,17,BTech,1,Mid,4,7.98,1,2,0,12,1,3.8021608947751973
DataScience,Offline,10,377,10,6,9,238297,13,MTech,0,Mid,1,8.18,0,3,1,10,3,4.196443933410828
DataScience,Online,7,307,5,8,6,153122,7,PhD,0,Top,1,5.64,0,3,0,19,3,12.408406368777838
DataScience,Online,25,399,5,4,10,89012,1,MTech,1,Top,3,8.68,1,2,1,13,1,14.604772390239518
GenAI,Offline,29,180,4,8,11,315494,9,PhD,0,Mid,2,9.53,0,1,1,22,1,6.9731912492789085
DataScience,Hybrid,34,424,4,4,1,20069,17,PhD,0,Top,1,9.59,2,3,0,15,1,74.7421396183168
FullStack,Online,15,313,13,6,7,313524,14,BTech,1,Startup,4,5.72,0,1,0,6,1,1.9137290925096644
Advanced,Hybrid,8,496,10,5,12,291080,8,PhD,1,Mid,4,8.8,0,1,0,23,1,7.901607805414319
GenAI,Hybrid,18,267,14,3,14,161452,15,BTech,1,Startup,4,9.55,0,1,0,13,1,8.051928746624384
Basic,Online,2,220,12,5,2,149203,13,PhD,0,Mid,3,5.91,2,3,0,13,1,8.71296153562596
Advanced,Offline,30,492,14,1,6,259520,19,MTech,0,Mid,4,7.54,1,2,1,12,1,4.6239210850801475
Advanced,Online,1,234,9,8,1,371075,4,PhD,0,Top,1,5.01,2,3,0,24,1,6.467695209863235
Advanced,Hybrid,29,99,4,8,8,152687,14,MTech,1,Top,2,9.47,1,3,1,5,2,3.274673023898564
DataScience,Hybrid,16,270,10,5,7,24301,12,PhD,0,Mid,4,6.78,2,3,1,10,1,41.150569935393605
DataScience,Offline,29,378,6,4,11,212367,15,PhD,0,Top,4,5.7,1,3,0,13,2,6.121478384118059
GenAI,Online,26,92,12,2,2,305696,4,MTech,0,Mid,3,8.99,2,3,1,18,1,5.888202658850623
DataScience,Hybrid,13,116,8,8,3,104998,7,BTech,0,Top,2,5.38,2,1,1,10,-1,9.523990933160633
DataScience,Online,11,473,5,2,6,319899,18,PhD,0,Mid,4,8.57,1,3,0,21,2,6.564571943019516
DataScience,Offline,13,358,7,6,11,344832,7,MTech,0,Startup,4,5.91,0,1,0,10,1,2.89996288047513
GenAI,Offline,10,485,10,3,3,398276,17,BTech,1,Top,4,9.69,1,3,0,18,2,4.519478954293003
GenAI,Hybrid,6,440,14,6,7,69691,13,PhD,1,Startup,1,6.81,1,2,0,23,1,33.0028267638576
FullStack,Hybrid,28,67,4,7,10,189623,14,PhD,0,Mid,4,7.8,1,3,0,24,2,12.656692489835093
FullStack,Offline,34,101,4,2,6,308937,17,MTech,0,Top,4,5.68,0,2,1,18,2,5.826430631487973
FullStack,Online,34,327,9,1,2,92305,14,MTech,1,Mid,3,7.31,1,2,1,21,1,22.750663561020527
FullStack,Online,10,191,10,9,8,175123,4,MTech,0,Startup,3,5.23,1,1,1,24,0,13.70465330082285
Advanced,Hybrid,2,283,5,7,9,231042,5,MTech,0,Top,4,7.62,1,3,1,11,2,4.761039118428684
Advanced,Online,28,70,14,6,1,319000,14,BTech,1,Mid,3,5.72,2,3,1,5,1,1.567398119122257
FullStack,Online,29,109,6,2,10,263161,4,BTech,1,Mid,1,7.05,0,3,0,4,3,1.5199820642116424
FullStack,Offline,25,200,14,6,14,117786,3,BTech,1,Startup,4,8.29,2,1,0,24,-1,20.3759360195609
Basic,Offline,17,174,14,2,4,339023,16,MTech,0,Mid,4,7.23,0,2,1,19,2,5.604339528586556
Advanced,Online,28,360,7,7,14,312623,13,PhD,0,Startup,1,6.63,1,2,1,13,1,4.158363268217629
Basic,Online,28,476,7,4,2,146992,14,BTech,0,Startup,4,8.1,2,1,1,19,-1,12.925873516926092
Basic,Offline,12,331,12,7,8,229380,4,BTech,0,Mid,2,9.12,1,2,1,7,1,3.051704594995204
DataScience,Hybrid,21,208,4,4,8,98244,4,MTech,1,Mid,2,6.52,1,1,0,15,0,15.268107976059607
GenAI,Hybrid,5,246,8,8,10,187953,10,PhD,0,Startup,2,5.54,1,3,1,16,2,8.512766489494714
